Município;State;Municipality; Gross Rol [%] ;Gross Rol [%];Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Paraiso Das Aguas - MS;mato grosso do sul;Paraiso Das Aguas;7.65;0.0765;11-01 / 01-01;5;0;259;01-01 / 03-01;5;0;344.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;966.78;726.87
Paranhos - MS;mato grosso do sul;Paranhos;7.65;0.0765;11-01 / 01-01;5;0;196;01-01 / 03-01;5;0;216.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1276.77;1159.95
Pedro Gomes - MS;mato grosso do sul;Pedro Gomes;7.65;0.0765;11-01 / 01-01;5;0;319;01-01 / 03-01;5;0;350.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;782.68;714.29
Ponta Pora - MS;mato grosso do sul;Ponta Pora;7.65;0.0765;11-01 / 01-01;5;0;218;01-01 / 03-01;5;0;221.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1147.39;1129.57
Ribas Do Rio Pardo - MS;mato grosso do sul;Ribas Do Rio Pardo;7.65;0.0765;11-01 / 01-01;5;0;233;01-01 / 03-01;5;0;273.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1074.95;916.09
Rio Brilhante - MS;mato grosso do sul;Rio Brilhante;7.65;0.0765;11-01 / 01-01;5;0;210;01-01 / 03-01;5;0;240.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1190.38;1039.90
Rio Verde De Mato Grosso - MS;mato grosso do sul;Rio Verde De Mato Grosso;7.65;0.0765;11-01 / 01-01;5;0;276;01-01 / 03-01;5;0;311.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;905.32;805.07
Rochedo - MS;mato grosso do sul;Rochedo;7.65;0.0765;11-01 / 01-01;5;0;261;01-01 / 03-01;5;0;262.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;958.11;953.44
Santa Rita Do Pardo - MS;mato grosso do sul;Santa Rita Do Pardo;7.65;0.0765;11-01 / 01-01;5;0;205;01-01 / 03-01;5;0;243.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1217.04;1030.19
Sao Gabriel Do Oeste - MS;mato grosso do sul;Sao Gabriel Do Oeste;7.65;0.0765;11-01 / 01-01;5;0;273;01-01 / 03-01;5;0;320.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;916.88;781.29
Sete Quedas - MS;mato grosso do sul;Sete Quedas;7.65;0.0765;11-01 / 01-01;5;0;178;01-01 / 03-01;5;0;221.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1406.82;1130.21
Sidrolandia - MS;mato grosso do sul;Sidrolandia;7.65;0.0765;11-01 / 01-01;5;0;247;01-01 / 03-01;5;0;257.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1013.25;972.79
Sonora - MS;mato grosso do sul;Sonora;7.65;0.0765;11-01 / 01-01;5;0;302;01-01 / 03-01;5;0;350.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;827.53;714.29
Tacuru - MS;mato grosso do sul;Tacuru;7.65;0.0765;11-01 / 01-01;5;0;169;01-01 / 03-01;5;0;217.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1482.48;1152.59
Terenos - MS;mato grosso do sul;Terenos;7.65;0.0765;11-01 / 01-01;5;0;243;01-01 / 03-01;5;0;272.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1029.05;918.14
Vicentina - MS;mato grosso do sul;Vicentina;7.65;0.0765;11-01 / 01-01;5;0;188;01-01 / 03-01;5;0;194.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1332.30;1287.36
Abatia - PR;parana;Abatia;6.6;0.066;11-01 / 01-01;5;0;116;01-01 / 03-01;5;0;259.00;100.00;5000.00;33000.00;500000.00;250000.00;250000.00;2152.43;964.07
